Company,Title,Role,Experience,Real Salary,Expected Salary,Education,Company Rating,Reviews of Company,Location,Skills,Link,Review Page of Company
Morningstar,Lead Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-10 Yrs ,Not disclosed,Avg. Salary - ₹23.1 Lakhs,UG :Any Graduate,,(410 Reviews),Navi Mumbai,Data SciencepythonAWSIT SkillsJavaArtificial IntelligenceDevOpsJenkins,https://www.naukri.com/job-listings-lead-data-scientist-morningstar-india-p-ltd-navi-mumbai-6-to-10-years-050722005787,https://www.ambitionbox.com/reviews/morningstar-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Morningstar,Senior Data Scientist,"['RoleData Scientist', 'Industry TypeAnalytics / KPO / Research', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-6 Yrs ,Not disclosed,Avg. Salary - ₹19.6 Lakhs,UG :Any Graduate,,(410 Reviews),Navi Mumbai,Deep Learningpythondata sciencemachine learning,https://www.naukri.com/job-listings-senior-data-scientist-morningstar-india-p-ltd-navi-mumbai-2-to-6-years-030822003322,https://www.ambitionbox.com/reviews/morningstar-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Berkmeer India,Associate Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-8 Yrs ,"12,00,000 - 15,00,000 PA.",,UG :Any Graduate,,(10 Reviews),"Hyderabad/Secunderabad, Chennai, Coimbatore, Bangalore/Bengaluru, Mumbai (All Areas)",Data SciencepythonMS power pointPower BIMS exceldata miningTableauwritten,https://www.naukri.com/job-listings-associate-data-scientist-berkmeer-india-private-limited-hyderabad-secunderabad-chennai-coimbatore-bangalore-bengaluru-mumbai-all-areas-5-to-8-years-230822001774,https://www.ambitionbox.com/reviews/berkmeer-india-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Maersk,Data Scientist - A.P. Maersk,"['RoleData Scientist', 'Industry TypePorts & Shipping', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']","17,00,000 - 25,00,000 PA. (Including Variable: 10.0%) ","17,00,000 - 25,00,000 PA. (Including Variable: 10.0%)",Avg. Salary - ₹20.8 Lakhs,"UG :B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization",,(2236 Reviews),Bangalore/Bengaluru(WFH during Covid),CelonisPower BiProcess MiningpythonRUXSASUI,https://www.naukri.com/job-listings-data-scientist-a-p-maersk-maersk-global-service-centres-india-private-limited-bangalore-bengaluru-5-to-10-years-290322004866,https://www.ambitionbox.com/reviews/maersk-global-service-centres-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
CRED,data science analyst,"['RoleData Scientist', 'Industry TypeFinTech / Payments', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",1-3 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(26 Reviews),Bangalore/Bengaluru,Analytical skillsHealth insurancedata scienceData qualityData miningbig dataOperationsMonitoring,https://www.naukri.com/job-listings-data-science-analyst-cred-bangalore-bengaluru-1-to-3-years-180822500240,https://www.ambitionbox.com/reviews/cred-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Walmart,Staff Data Scientist (Operations Research),"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",9-14 Yrs ,Not disclosed,Avg. Salary - ₹66.5 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(11972 Reviews),Bangalore/Bengaluru,BiqQueryGurobiAzurecommunicationMachine learningSQLSciencePython,https://www.naukri.com/job-listings-staff-data-scientist-operations-research-walmart-labs-bangalore-bengaluru-9-to-14-years-170822501269,https://www.ambitionbox.com/reviews/walmart-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Walmart,Senior Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",8-13 Yrs ,Not disclosed,Avg. Salary - ₹43.7 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(11972 Reviews),Bangalore/Bengaluru,ProcurementCloud computingAutomationData analysisdata scienceDb2CodingAgile,https://www.naukri.com/job-listings-senior-data-scientist-walmart-labs-bangalore-bengaluru-8-to-13-years-170822501256,https://www.ambitionbox.com/reviews/walmart-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Walmart,Principal Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",12-15 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(11972 Reviews),Bangalore/Bengaluru,IT SkillsPythonTestingData ScienceMachine LearningBig DataSupply chainData analysis,https://www.naukri.com/job-listings-principal-data-scientist-walmart-labs-bangalore-bengaluru-12-to-15-years-170822501254,https://www.ambitionbox.com/reviews/walmart-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Conduent,Data Scientist Python,,3-7 Yrs ,"8,50,000 - 17,00,000 PA.",,,,(1777 Reviews),"Hyderabad/Secunderabad, Bangalore/Bengaluru",data scientistPythonBPOdata analysisNLPNatural Language Processingstatistical modelingmachine learning,https://www.naukri.com/job-listings-data-scientist-python-conduent-business-services-india-llp-hyderabad-secunderabad-bangalore-bengaluru-3-to-7-years-160822011020,https://www.ambitionbox.com/reviews/conduent-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
GRANTIC INCORPORATION ,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-8 Yrs ,"20,00,000 - 30,00,000 PA.",,UG :Any Graduate,,,"Pune, Bangalore/Bengaluru, Mumbai (All Areas)",Predictive Modelingdata modelsData Qualitydata scienceData AnalysisIT SkillsPythonJava,https://www.naukri.com/job-listings-data-scientist-grantic-incorporation-pune-bangalore-bengaluru-mumbai-all-areas-4-to-8-years-200822000119,
Wells Fargo,Senior Quantitative Analytics Specialist - NLP,,3-5 Yrs ,Not disclosed,,,,(3264 Reviews),Bangalore/Bengaluru,PythonRNLPExceldata managementSASH2OAster,https://www.naukri.com/job-listings-senior-quantitative-analytics-specialist-nlp-wells-fargo-international-solutions-private-ltd-bangalore-bengaluru-3-to-5-years-040822902704,https://www.ambitionbox.com/reviews/wells-fargo-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
IBM,Data Scientist,,8-12 Yrs ,Not disclosed,,,,(20577 Reviews),Bangalore/Bengaluru,ConsultingPredictive modelingSPSSForecastingAnalyticsIT SkillsJavaPython,https://www.naukri.com/job-listings-data-scientist-ibm-india-pvt-limited-bangalore-bengaluru-8-to-12-years-020822908663,https://www.ambitionbox.com/reviews/ibm-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Schneider Electric,Distinguish Data Scientist,"['RoleData Scientist', 'Industry TypeElectrical Equipment', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",10-14 Yrs ,Not disclosed,Avg. Salary - ₹18.6 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(3803 Reviews),Bangalore/Bengaluru,Logistic regressionFactor analysisdata scienceAnalyticalIntellectual propertyMachine learninglinear regressionAnalytics,https://www.naukri.com/job-listings-distinguish-data-scientist-schneider-electric-india-pvt-ltd-bangalore-bengaluru-10-to-14-years-300722500593,https://www.ambitionbox.com/reviews/schneider-electric-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
VISA,Data Engineer - ML Ops,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-5 Yrs ,Not disclosed,Avg. Salary - ₹27.5 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(89 Reviews),Bangalore/Bengaluru,Computer scienceGITLinuxShell scriptingMachine learningAgileSchedulingRisk management,https://www.naukri.com/job-listings-data-engineer-ml-ops-visa-inc-bangalore-bengaluru-2-to-5-years-300622500879,https://www.ambitionbox.com/reviews/visa-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Accenture,ACN - Applied Intelligence - Data Scientist - 09,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-10 Yrs ,Not disclosed,Avg. Salary - ₹11.9 Lakhs,UG :Any GraduatePG :Post Graduation Not Required,,(30728 Reviews),Bangalore/Bengaluru,Computer scienceAutomationMachine learningMonitoringPythonlearningIT SkillsData Science,https://www.naukri.com/job-listings-acn-applied-intelligence-data-scientist-09-accenture-solutions-pvt-ltd-bangalore-bengaluru-6-to-10-years-290722915837,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Accenture,ACN - Applied Intelligence - Data Scientist - 09,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-6 Yrs ,Not disclosed,Avg. Salary - ₹11.9 Lakhs,UG :Any GraduatePG :Post Graduation Not Required,,(30728 Reviews),Bangalore/Bengaluru,Computer scienceAutomationMachine learningMonitoringPythonlearningIT SkillsData Science,https://www.naukri.com/job-listings-acn-applied-intelligence-data-scientist-09-accenture-solutions-pvt-ltd-bangalore-bengaluru-2-to-6-years-290722915764,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Schneider Electric,FTE - Regional BI - Data Scientist,"['RoleData Scientist', 'Industry TypeElectrical Equipment', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-5 Yrs ,Not disclosed,Avg. Salary - ₹18.6 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(3803 Reviews),Bangalore/Bengaluru,Computer scienceSAPdata scienceOracle SQLNeural networksMachine learningBusiness solutionsbig data,https://www.naukri.com/job-listings-fte-regional-bi-data-scientist-schneider-electric-india-pvt-ltd-bangalore-bengaluru-3-to-5-years-290422501874,https://www.ambitionbox.com/reviews/schneider-electric-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Siemens,Data Scientist,"['RoleData Scientist', 'Industry TypeIndustrial Automation', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-6 Yrs ,Not disclosed,Avg. Salary - ₹14.2 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(4704 Reviews),Bangalore/Bengaluru,deep learningGITWeb technologiesdata scienceNeural networksCloudSiemensPython,https://www.naukri.com/job-listings-data-scientist-siemens-limited-bangalore-bengaluru-2-to-6-years-270722501506,https://www.ambitionbox.com/reviews/siemens-india-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Cargill,Senior Data Scientist,"['RoleData Scientist', 'Industry TypeFood Processing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-8 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(1011 Reviews),Bangalore/Bengaluru,continuous integrationData analysisdata scienceMachine learningWorkflowdata visualizationMonitoringSQL,https://www.naukri.com/job-listings-senior-data-scientist-cargill-india-pvt-ltd-bangalore-bengaluru-5-to-8-years-270722501412,https://www.ambitionbox.com/reviews/cargill-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Walmart,Senior Manager I - Data science - Marketplace,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-9 Yrs ,Not disclosed,Avg. Salary - ₹38.7 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(11972 Reviews),Bangalore/Bengaluru,insight generationdata miningcommunicationsSQLPythonGCPmachine learningspark,https://www.naukri.com/job-listings-senior-manager-i-data-science-marketplace-walmart-labs-bangalore-bengaluru-5-to-9-years-260722500089,https://www.ambitionbox.com/reviews/walmart-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Cargill,Data Scientist Strategic Pricing,"['RoleData Scientist', 'Industry TypeFood Processing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",3-8 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(1011 Reviews),Gurgaon/Gurugram,MiningCareer developmentcontinuous integrationNutritionMachine learningProgrammingPredictive modelingEconometrics,https://www.naukri.com/job-listings-data-scientist-strategic-pricing-cargill-india-pvt-ltd-gurgaon-gurugram-3-to-8-years-240822502491,https://www.ambitionbox.com/reviews/cargill-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Caterpillar Inc,Data Scientist II,"['RoleData Scientist', 'Industry TypeIndustrial Equipment / Machinery', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",6-10 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(830 Reviews),Chennai,Data analysisMinitabData managementAnalyticalArtificial IntelligenceMachine learningAgileData mining,https://www.naukri.com/job-listings-data-scientist-ii-caterpillar-india-private-ltd-chennai-6-to-10-years-240822500878,https://www.ambitionbox.com/reviews/caterpillar-inc-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
VISA,Data Scientist ( ML / AI ),"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",4-9 Yrs ,Not disclosed,Avg. Salary - ₹27.5 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(89 Reviews),Bangalore/Bengaluru,Data analysisManager Quality AssuranceLinuxAnalyticalPredictive modelingData miningRisk managementAnalytics,https://www.naukri.com/job-listings-data-scientist-ml-ai-visa-inc-bangalore-bengaluru-4-to-9-years-230722500271,https://www.ambitionbox.com/reviews/visa-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
VISA,Senior Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",8-13 Yrs ,Not disclosed,Avg. Salary - ₹40.3 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(89 Reviews),Bangalore/Bengaluru,AutomationManager Quality AssuranceLinuxAnalyticalPredictive modelingData miningRisk managementAnalytics,https://www.naukri.com/job-listings-senior-data-scientist-visa-inc-bangalore-bengaluru-8-to-13-years-230722500270,https://www.ambitionbox.com/reviews/visa-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Accenture,Research Manager,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",11-15 Yrs ,Not disclosed,Avg. Salary - ₹38.9 Lakhs,UG :Any GraduatePG :Post Graduation Not Required,,(30728 Reviews),"India, India",Computer scienceCodingAnalyticalConsultingPythonIT SkillsData ScienceMachine Learning,https://www.naukri.com/job-listings-research-manager-accenture-solutions-pvt-ltd-india-india-11-to-15-years-220822903018,https://www.ambitionbox.com/reviews/accenture-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Philips,Lead Data Scientist,"['RoleData Scientist', 'Industry TypeMedical Services / Hospital', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",8-10 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(1576 Reviews),"Chennai, Bangalore/Bengaluru",Supply chainComputer scienceAutomationCodingAnalyticalMachine learningOpen sourceData mining,https://www.naukri.com/job-listings-lead-data-scientist-philips-india-limited-chennai-bangalore-bengaluru-8-to-10-years-210622500831,https://www.ambitionbox.com/reviews/philips-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Applied Materials,Data Scientist,"['RoleData Scientist', 'Industry TypeElectronic Components / Semiconductors', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",7-10 Yrs ,Not disclosed,Avg. Salary - ₹13.8 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(198 Reviews),Bangalore/Bengaluru,Deep learningRCNNsCNNtableausoftware development lifecycleRNNLSTMMLOps,https://www.naukri.com/job-listings-data-scientist-applied-materials-india-private-limited-bangalore-bengaluru-7-to-10-years-190722909735,https://www.ambitionbox.com/reviews/applied-materials-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Swiggy,Senior Staff Data Scientist,"['RoleData Scientist', 'Industry TypeInternet', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-7 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(2161 Reviews),Bangalore/Bengaluru,Product managementPublishingSimulationMachine learningSCALAOpen sourceSQLPython,https://www.naukri.com/job-listings-senior-staff-data-scientist-swiggy-bangalore-bengaluru-2-to-7-years-171121501377,https://www.ambitionbox.com/reviews/swiggy-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Walmart,Senior Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",5-9 Yrs ,Not disclosed,Avg. Salary - ₹43.7 Lakhs,UG :Any GraduatePG :Any Postgraduate,,(11972 Reviews),Bangalore/Bengaluru,IT SkillsPythonData ScienceMachine LearningBig DataCloud computingData analysisWeb analytics,https://www.naukri.com/job-listings-senior-data-scientist-walmart-labs-bangalore-bengaluru-5-to-9-years-140622502377,https://www.ambitionbox.com/reviews/walmart-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
HCL Technologies,Job Opportunity || Data Scientist || HCL Technologies || Noida,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-5 Yrs ,Not disclosed,Avg. Salary - ₹9.4 Lakhs,UG :B.Tech/B.E. in Computers,,(17178 Reviews),Delhi / NCR,machine learningTensorflowPythonCaffeImage processingTorchCuDNNOpenCV,https://www.naukri.com/job-listings-opportunity-data-scientist-hcl-technologies-noida-hcl-technologies-limited-delhi-ncr-2-to-5-years-130522009322,https://www.ambitionbox.com/reviews/hcl-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Collabera,Data Scientist,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",Not disclosed ,Not disclosed,Avg. Salary - ₹8 Lakhs,"UG :Any GraduateDoctorate :Ph.D/Doctorate in Physics, Economics, Maths",,(772 Reviews),Bangalore/Bengaluru(WFH during Covid),Pythondata scienceSparkTeradataHadoopanalyticsSQLIT Skills,https://www.naukri.com/job-listings-data-scientist-collabera-technologies-private-limited-bangalore-bengaluru-4-to-6-years-250722001253,https://www.ambitionbox.com/reviews/collabera-technologies-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
R Systems International,Lead Data Scientist,,Not disclosed ,Not disclosed,,,,(517 Reviews),Noida(Sector-59 Noida)(WFH during Covid),Artificial IntelligenceNatural Language ProcessingMachine LearningMLOpsPythonContainersCI / CDAWS architecture,https://www.naukri.com/job-listings-lead-data-scientist-r-systems-international-ltd-noida-7-to-10-years-220822007745,https://www.ambitionbox.com/reviews/r-systems-international-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Disha Consultants,nlp engineers,"['RoleData Scientist', 'Industry TypeRecruitment / Staffing', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",8-12 Yrs ,Not disclosed,,UG :Any GraduatePG :Any Postgraduate,,(2 Reviews),Bangalore/Bengaluru,Computer scienceLogistic regressionArchitectureDiagnosticsGCPMachine learningDeploymentMathematics,https://www.naukri.com/job-listings-nlp-engineers-disha-consultant-bangalore-bengaluru-8-to-12-years-220622501879,https://www.ambitionbox.com/reviews/disha-consultants-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
Optum,I O Engineering Analyst,"['RoleData Scientist', 'Industry TypeIT Services & Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",2-7 Yrs ,Not disclosed,,"UG :BCA in Computers, B.Tech/B.E. in Computers, B.Sc in ComputersPG :MCA in Computers, PG Diploma in Computers, MS/M.Sc(Science) in Computers, M.Tech in Computers",,(1959 Reviews),Chennai,LINUX Shell ScriptingIT SkillsPythonCloudOracleJenkinssparkscala,https://www.naukri.com/job-listings-i-o-engineering-analyst-optum-global-solutions-india-private-limited-chennai-2-to-7-years-160822901719,https://www.ambitionbox.com/reviews/optum-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
EYGBS,"EY GBS - Assistant Director - Data Science  (10+ years), Bangalore","['RoleData Scientist', 'Industry TypeManagement Consulting', 'Functional AreaData Science & Analytics', 'Employment TypeFull Time', ' PermanentRole CategoryData Science & Machine Learning']",10-17 Yrs ,"35,00,000 - 50,00,000 PA.",Avg. Salary - ₹27.8 Lakhs,PG :Any Postgraduate,,(415 Reviews),Bangalore/Bengaluru,pythonNLPdata sciencemachine learningdeep learning,https://www.naukri.com/job-listings-ey-gbs-assistant-director-data-science-10-years-bangalore-eygbs-bangalore-bengaluru-10-to-17-years-120722007934,https://www.ambitionbox.com/reviews/eygbs-reviews?utm_campaign=srp_ratings&utm_medium=desktop&utm_source=naukri
